Date,Price,Open,High,Low,Vol.,Change %
4/3/2020,"31,621.79","30,782.67","31,817.10","30,782.67",,2.73%
4/2/2020,"30,782.66","29,505.57","30,842.00","29,460.38",,4.33%
4/1/2020,"29,505.57","29,231.63","29,691.23","28,902.08",,0.94%
3/31/2020,"29,231.63","28,023.39","29,334.55","28,023.39",,4.31%
3/30/2020,"28,023.39","28,109.57","28,114.10","27,467.35",,-0.31%
3/27/2020,"28,109.57","27,267.20","28,273.09","27,156.53",,3.09%
3/26/2020,"27,267.20","27,228.80","28,191.33","27,046.71",,0.14%
3/25/2020,"27,228.80","28,564.83","28,787.60","27,169.14",,-4.68%
3/24/2020,"28,564.83","30,667.41","30,667.41","28,510.45",,-6.86%
3/20/2020,"30,667.41","30,129.83","30,928.05","29,903.81",,1.78%
3/19/2020,"30,129.83","30,416.05","30,515.62","28,452.44",,-0.94%
3/18/2020,"30,416.05","32,616.93","32,616.93","30,378.68",,-6.75%
3/17/2020,"32,616.93","33,684.91","33,893.84","32,416.41",,-3.17%
3/16/2020,"33,684.91","36,060.88","36,060.88","33,618.90",,-6.59%
3/13/2020,"36,060.88","35,956.69","36,212.38","34,266.91",,0.29%
3/12/2020,"35,956.69","37,673.25","37,673.25","35,895.77",,-4.56%
3/11/2020,"37,673.25","37,695.75","38,333.09","37,523.29",,-0.06%
3/10/2020,"37,695.75","37,058.95","37,734.75","36,913.69",,1.72%
3/9/2020,"37,058.95","38,219.67","38,219.67","35,917.34",,-3.04%
3/6/2020,"38,219.67","39,382.11","39,382.11","38,122.96",,-2.95%
3/5/2020,"39,382.11","38,906.40","39,742.50","38,906.40",,1.22%
3/4/2020,"38,906.40","39,199.68","39,262.55","38,762.44",,-0.75%
3/3/2020,"39,199.68","39,296.30","39,866.46","39,057.53",,-0.25%
3/2/2020,"39,296.30","37,983.62","39,362.29","37,983.62",,3.46%
2/28/2020,"37,983.62","38,087.32","38,307.07","37,758.57",,-0.27%
2/27/2020,"38,087.32","38,338.33","38,338.33","36,918.22",,-0.65%
2/26/2020,"38,338.33","38,858.45","38,976.83","38,074.16",,-1.34%
2/25/2020,"38,858.45","39,143.73","39,247.75","38,693.02",,-0.73%
2/24/2020,"39,143.73","40,249.22","40,249.22","39,079.78",,-2.75%
2/21/2020,"40,249.22","40,481.65","40,527.08","40,171.10",,-0.57%
2/20/2020,"40,481.65","40,574.52","40,697.05","40,445.78",,-0.23%
2/19/2020,"40,574.52","40,175.35","40,644.06","40,175.35",,0.99%
2/18/2020,"40,175.35","40,276.93","40,600.80","40,065.86",,-0.25%
2/17/2020,"40,276.93","40,243.26","40,521.69","40,047.93",,0.08%
2/14/2020,"40,243.26","40,455.44","40,603.16","40,094.29",,-0.52%
2/13/2020,"40,455.44","40,531.13","40,787.09","40,323.42",,-0.19%
2/12/2020,"40,531.13","39,714.46","40,637.79","39,714.46",,2.06%
2/11/2020,"39,714.46","39,296.70","39,985.96","39,084.86",,1.06%
2/10/2020,"39,296.70","40,143.63","40,150.34","39,196.19",,-2.11%
2/7/2020,"40,143.63","40,724.40","40,869.49","40,046.48",,-1.43%
2/6/2020,"40,724.41","40,884.25","41,162.91","40,684.18",,-0.39%
2/4/2020,"40,884.25","40,409.38","40,953.29","40,349.00",,1.18%
2/3/2020,"40,409.38","41,630.93","41,630.93","40,233.64",,-2.93%
1/31/2020,"41,630.94","41,903.50","42,137.40","41,558.74",,-0.65%
1/30/2020,"41,903.51","41,898.70","41,982.70","41,548.04",,0.01%
1/29/2020,"41,898.70","42,299.19","42,429.49","41,790.81",,-0.95%
1/28/2020,"42,299.19","42,539.23","42,539.23","42,153.29",,-0.56%
1/27/2020,"42,539.23","42,633.02","42,738.56","42,472.16",,-0.22%
1/24/2020,"42,633.03","42,506.95","42,707.43","42,250.56",,0.30%
1/23/2020,"42,506.95","42,561.27","42,906.14","42,439.68",,-0.13%
1/22/2020,"42,561.27","42,626.47","42,675.42","42,144.47",,-0.15%
1/21/2020,"42,626.48","42,747.62","42,965.41","42,338.79",,-0.28%
1/20/2020,"42,747.63","43,167.76","43,302.61","42,632.58",,-0.97%
1/17/2020,"43,167.77","43,065.09","43,246.61","43,017.50",,0.24%
1/16/2020,"43,065.10","42,993.02","43,205.26","42,805.73",,0.17%
1/15/2020,"42,993.03","43,207.04","43,239.88","42,877.90",,-0.50%
1/14/2020,"43,207.04","43,218.67","43,468.22","43,095.41",,-0.03%
1/13/2020,"43,218.67","43,207.05","43,453.34","43,037.72",,0.03%
1/10/2020,"43,207.05","42,523.07","43,241.78","42,523.07",,1.61%
1/9/2020,"42,523.07","41,357.56","42,556.01","41,357.56",,2.82%
1/8/2020,"41,357.56","41,904.47","41,939.47","41,173.95",,-1.31%
1/7/2020,"41,904.47","41,296.24","41,967.94","41,296.24",,1.47%
1/6/2020,"41,296.24","42,323.30","42,323.30","41,207.16",,-2.43%
1/3/2020,"42,323.30","42,480.76","42,835.08","42,077.45",,-0.37%
1/2/2020,"42,480.76","41,400.00","42,543.73","41,400.00",,2.61%
1/1/2020,"41,400.00","40,735.08","41,544.05","40,735.08",,1.63%
12/31/2019,"40,735.08","40,887.62","40,997.50","40,689.02",,-0.37%
12/30/2019,"40,887.62","40,848.53","41,295.28","40,815.80",,0.10%
12/27/2019,"40,848.53","41,127.79","41,289.68","40,726.65",,-0.68%
12/26/2019,"41,127.79","40,328.32","41,148.72","40,328.32",,1.98%
12/24/2019,"40,328.32","40,008.29","40,488.68","39,455.33",,0.80%
12/23/2019,"40,008.29","40,832.99","40,832.99","39,931.78",,-2.02%
12/20/2019,"40,832.99","40,655.37","41,054.42","40,493.99",,0.44%
12/19/2019,"40,655.37","41,603.71","41,796.33","40,414.36",,-2.28%
12/18/2019,"41,603.71","41,768.66","41,920.62","41,389.60",,-0.39%
12/17/2019,"41,768.66","41,644.88","42,056.14","41,025.71",,0.30%
12/16/2019,"41,644.88","40,916.59","41,699.04","40,916.59",,1.78%
12/13/2019,"40,916.59","40,514.17","41,077.82","40,514.17",,0.99%
12/12/2019,"40,514.17","40,531.42","40,769.88","40,172.32",,-0.04%
12/11/2019,"40,531.42","40,664.60","40,911.19","40,450.98",,-0.33%
12/10/2019,"40,664.60","40,442.81","40,704.22","40,259.03",,0.55%
12/9/2019,"40,442.80","40,732.25","40,916.39","40,314.94",,-0.71%
12/6/2019,"40,732.25","40,641.10","40,987.76","40,595.96",,0.22%
12/5/2019,"40,641.10","40,270.52","40,809.31","40,270.52",,0.92%
12/4/2019,"40,270.52","39,788.73","40,306.55","39,659.43",,1.21%
12/3/2019,"39,788.73","40,124.22","40,444.05","39,725.70",,-0.84%
12/2/2019,"40,124.22","39,287.65","40,144.12","39,287.65",,2.13%
11/29/2019,"39,287.65","38,706.27","39,452.76","38,706.27",,1.50%
11/28/2019,"38,706.27","38,122.72","38,847.19","38,122.72",,1.53%
