Date,Price,Open,High,Low,Vol.,Change %,Daily_Return,Volatility_30d
2025-04-14,116390.04,115448.73,116494.2,115246.21,273770000.0,1.34,1.337976008183639,1.031678781520817
2025-04-15,116775.5,116739.03,117362.23,116645.69,215170000.0,0.33,0.3311795407923368,1.0255846632436618
2025-04-16,116020.11,117187.51,117424.04,115776.12,248070000.0,-0.65,-0.646873702103612,1.0340557391911904
2025-04-17,116901.13,116073.7,117216.03,115818.07,221690000.0,0.76,0.7593683543309915,1.036307838256291
2025-04-18,117315.59,117360.6,117888.13,116759.07,212790000.0,0.35,0.35453891677521554,1.0106971978096944
2025-04-21,118383.38,117712.7,118827.47,117712.7,367340000.0,0.91,0.9101859352196984,1.015713394624466
2025-04-22,118430.35,118546.17,119217.19,118161.68,353610000.0,0.04,0.039676177517478095,1.0096850204765762
2025-04-23,117226.15,118422.67,118811.24,117120.39,242520000.0,-1.02,-1.0168001698888984,1.009954181127899
2025-04-24,115019.82,115269.3,116568.14,114661.2,197690000.0,-1.88,-1.8821141869795999,1.0680680252042931
2025-04-25,115469.35,115099.65,115844.89,113716.6,213620000.0,0.39,0.39082829376710926,1.0700850956050614
2025-04-28,114063.9,116305.7,116658.95,113867.81,190220000.0,-1.22,-1.2171628228616616,1.09398496278437
2025-04-29,114872.18,113869.98,115040.59,112935.57,185490000.0,0.71,0.7086203435092031,1.1013785541654855
2025-04-30,111326.58,114066.13,114066.13,110631.84,254490000.0,-3.09,-3.086561080324224,1.226501922754946
2025-05-02,114113.94,112820.08,114546.88,112820.08,192300000.0,2.5,2.5037686417745064,1.3135305328881774
2025-05-05,114102.24,114385.61,114552.21,113077.67,153680000.0,-0.01,-0.010252910380625924,1.3085406137471645
2025-05-06,113568.51,114392.83,115093.11,113418.52,165330000.0,-0.47,-0.46776469944850296,1.3029571800117912
2025-05-07,110009.03,107007.68,112457.38,107007.68,261519999.99999997,-3.13,-3.134213876716352,1.4034369252865382
2025-05-08,103526.82,110842.45,111881.03,101598.91,308030000.0,-5.89,-5.892434466516061,1.7322206850455792
2025-05-09,107174.64,103949.69,107541.45,102420.82,238400000.0,3.52,3.5235507088887674,1.877582425407244
2025-05-12,117297.73,117104.12,117327.78,115794.37,345350000.0,9.45,9.445415445295646,2.56959752627614
2025-05-13,118575.89,120067.12,120067.12,116859.93,366250000.0,1.09,1.0896715563037729,2.576487580490048
2025-05-14,118536.53,118950.61,119460.54,118148.65,273520000.0,-0.03,-0.03319393175121865,2.5710486987813574
2025-05-15,119961.91,118871.13,119990.3,118871.13,310690000.0,1.2,1.2024816316117848,2.5795847747839336
2025-05-16,119649.14,120292.95,120506.18,119541.15,235070000.0,-0.26,-0.2607244249445584,2.5750409862454333
2025-05-19,119689.63,120164.33,120285.55,119250.68,119530000.0,0.03,0.033840610973046026,2.5748337192361785
2025-05-20,118971.13,119891.17,119900.38,118527.09,108110000.0,-0.6,-0.6003026327343508,2.501064952735262
2025-05-21,119931.46,119239.34,120106.21,119128.39,280860000.0,0.81,0.8071958297781956,2.5029820178941597
2025-05-22,119153.04,120234.81,120699.18,119062.03,223280000.0,-0.65,-0.6490540513723553,2.4948265475094535
2025-05-23,119102.67,119214.78,119542.52,118665.26,99800000.0,-0.04,-0.042273365413081354,2.4763704397484148
2025-05-26,118221.12,119211.88,119290.94,118150.28,350580000.0,-0.74,-0.7401597294166451,2.4702980006235435
2025-05-27,118332.91,118533.7,118807.92,118143.68,414610000.0,0.09,0.09456009213921757,2.4596577497730086
2025-05-29,118971.41,118512.41,119639.47,118481.98,315840000.0,0.54,0.5395793951150196,2.460674478834927
2025-05-30,119691.09,119138.77,119913.88,118771.84,211930000.0,0.6,0.6049184421702547,2.458346940697628
2025-06-02,118877.81,120211.57,120590.77,118672.84,164320000.0,-0.68,-0.6794824911361408,2.459730716180145
2025-06-03,120450.87,119129.52,120693.83,119129.52,315240000.0,1.32,1.3232578897609315,2.4697355287367246
2025-06-04,121798.87,120954.38,121882.48,120896.13,292410000.0,1.12,1.1191284878224517,2.4723431932133
2025-06-05,121641.0,122106.82,122281.58,121517.9,407560000.0,-0.13,-0.12961532401737363,2.4727349946535138
2025-06-10,122024.44,122152.23,122611.53,121589.9,235300000.0,0.32,0.31522266341119654,2.463594911692078
2025-06-11,124352.68,123290.25,124588.17,123237.99,332590000.0,1.91,1.9080112148025297,2.4522810412275433
2025-06-12,124093.12,124807.1,126718.28,123846.56,371980000.0,-0.21,-0.20872891521115378,2.4538642568259945
2025-06-13,122143.57,122679.01,123058.06,121604.6,238190000.0,-1.57,-1.571037943118836,2.4620909647357414
2025-06-16,122225.36,122168.26,122903.34,121889.96,181440000.0,0.07,0.06696218229087503,2.46082016980739
2025-06-17,121971.04,122367.28,122891.61,121815.39,203250000.0,-0.21,-0.20807465815605442,2.3816585233579
2025-06-18,120465.93,121857.97,121905.5,120418.0,122210000.0,-1.23,-1.233989642131439,2.361795365403008
2025-06-19,120002.59,121103.35,121745.3,119770.03,134100000.0,-0.38,-0.3846232706624986,2.3639713284536827
2025-06-20,120023.24,120234.96,120828.86,119872.16,136800000.0,0.02,0.017207961928167315,2.360941876875137
2025-06-23,116167.47,118272.0,118798.52,115887.49,196190000.0,-3.21,-3.2125195087218117,2.3648076348249094
2025-06-24,122246.64,120499.53,122725.21,120369.54,318300000.0,5.23,5.233108717956925,2.244411296805032
2025-06-25,122761.64,122753.01,123256.55,122168.76,221150000.0,0.42,0.42127947238468355,2.1744427971109452
2025-06-26,122046.46,123031.82,123417.87,122142.43,244240000.0,-0.58,-0.5825761206839419,1.3699737122561995
2025-06-27,124379.07,122229.42,125285.05,122222.7,220310000.0,1.91,1.91124756916341,1.397519462572943
2025-06-30,125627.31,124884.07,125748.59,124500.21,258990000.0,1.0,1.0035772095739137,1.405152380019197
2025-07-01,128199.43,126114.17,128475.7,126113.28,336910000.0,2.05,2.047421058366994,1.434041757055664
2025-07-02,130344.03,128616.12,130545.95,128616.12,345790000.0,1.67,1.6728623520400943,1.4544654686014975
2025-07-03,130686.66,130831.28,131325.11,129776.2,280010000.0,0.26,0.2628658942032125,1.4536433745806403
2025-07-04,131949.06,130896.03,132129.59,130716.11,198950000.0,0.97,0.9659746450020101,1.4481787718375225
2025-07-07,133370.16,132485.75,133862.02,132467.13,344250000.0,1.08,1.077006535704017,1.4519121343195773
2025-07-08,133403.19,133746.63,134200.27,132696.36,324460000.0,0.02,0.024765659724779177,1.440858133940341
2025-07-09,132576.98,133524.94,133566.38,132326.19,161030000.0,-0.62,-0.619333015949608,1.450608069440096
2025-07-10,133782.34,132773.88,133902.34,132706.03,325790000.0,0.91,0.9091774454358381,1.4383654204222125
2025-07-11,134299.77,134130.91,134931.95,134130.41,290060000.0,0.39,0.38677003257678866,1.4370538225044431
2025-07-14,136502.55,134937.44,136841.5,134937.44,259910000.00000003,1.64,1.640196405399652,1.4538282331730692
2025-07-15,135939.88,136840.16,137747.61,135826.41,307740000.0,-0.41,-0.4122047536840756,1.4623927883598937
2025-07-16,136379.97,136169.64,137232.11,135542.89,273100000.0,0.32,0.32373869978405967,1.447411720354968
2025-07-17,138665.5,136674.98,138943.47,136674.98,299280000.0,1.68,1.6758545994694174,1.4559945760140096
